user_id,categories,top_books
AE37V2LSIPGA6JSYY6NEC3VRX3KQ,[  Literature & Fiction],"B09ZB5FLZ4,B0976V6YSL,B06W2H7XVT"
AE3BBYGS6ZCUJCBI2MHPYJEK7T6A,[  Literature & Fiction],"B015GWEGGA,B087F44LSV,B00NOAZIA0"
AE3FM3XHC566TOVV3IHVEKIZNT7A,[  Literature & Fiction],"B07VQR8SG7,B074H8NFDF,B01EN506YM"
AE3I4SDYDD5V3VWD6X2X5GL6FVFA,[  Literature & Fiction],"B0059AJ8V8,B07HYGQ5JZ,B08R8M1L72"
AE3N4PPNE6HL444RD5QZCBWOZFOQ,[  Literature & Fiction],"B001PSEPZW,B003KGAUUQ,B00U6IQFFU"
AE3TLSDAAJWS4MM6IUGV7M3CC5JQ,[  Literature & Fiction],"B075HXST4P,B07HJYTRMD,B01M0614T9"
AE3VGZ24QJ6RN55WSB5FZE6GMQIA,[  Literature & Fiction],"B0777PYT6J,B0874WYYRJ,B00VJ4IDVY"
AE3Y74FOUDTFMA4QMZLRZRS5GYVA,[  Literature & Fiction],"B07MLR5WY6,B07C8G8XT9,B00RJD8LOS"
AE3YJE3MCP3FQ2D7JXCJPFB6EZGQ,[  Literature & Fiction],"B07D4G28KY,B078JGDYX8,B01L1CEZ9C"
AE42FL6WNLTLEZZFXXK6IYZBLEAQ,[  Literature & Fiction],"B00EMXBDMA,B08FHBV4ZX,B004YW4L5K"
AE43R7L3NNOKRYFZLXRGHOOUJOHA,[  Literature & Fiction],"B09LNCYFCB,B09GZTSY2K,B084VTC2P3"
AE43SAN3Q6YI7KUBOZWEOHO7YXLQ,[  Literature & Fiction],"B08LDY1MKW,B07ZV1BCC4,B083JKGK15"
AE44U3LTPBY3BREGNCPD6XM6BVMQ,[  Literature & Fiction],"B008476HBM,B07VQR8SG7,B07SH5V2NB"
AE46AVONJQ4MZY4FBELXA6XCVXFA,[  Literature & Fiction],"B00BB62RZI,B01M3RMQMG,B01LY7FD0D"
AE46KKKDQF5DNIBMHZ2Q6XNR4TDA,[  Literature & Fiction],"B00179FNRI,B08MZRR2SQ,B0719WQT7H"
AE46MGZBHD7HMURCXEXNB2UYHMXA,[  Literature & Fiction],"B016DRV64M,B01121SUG6,B00HBF56E2"
AE47BXQ7H5Y5YSADO6DEN74ADCFQ,[  Literature & Fiction],"B0BB64ZRMW,B09PNM8FFN,B007Y30722"
AE4AFKJTZVE5W2GDNT4V2A7DZHBQ,[  Literature & Fiction],"B00AMRGIXY,B001NLL8LA,B01MUBJLNC"
AE4CKUQRRS44NWZ4YYIRYOVMKVAQ,[  Literature & Fiction],"B00Q92RXJO,B00A0NOF7G,B0084JC6QU"
AE4DE42JNZQQORWUWFMWTL4MNKMQ,[  Literature & Fiction],"B00MRAZIIA,B073BVCHKG,B00FJ352U6"
AE4GEUC5C72VDKTSJO3355WOQWHA,[  Literature & Fiction],"B07GJL19B4,B007EWJBIE,B07G8NTJVP"
AE4IAXUWWK6RLLPGFRZD4QSWOBIA,[  Literature & Fiction],"B085BVSXS9,B084357H23,B004DI7HZ6"
AE4JNKE22NSLH5K4MY2K5HH7PS3A,[  Literature & Fiction],"B00TSQBBAU,B0092PPWKC,B0099TF3RI"
AE4KYLPIL2ISVYAVNTS35GJ7WRUA,[  Literature & Fiction],"B07TDMVLGC,B07P92TDXQ,B01MTXL14F"
AE4MUS7QO42JEMHS537KV7GMYDHQ,[  Literature & Fiction],"B074D7F5FW,B01MFGX5GI,B071WKLCXH"
AE4OQXPU2MAQYAUPIEXJKLVIUXRA,[  Literature & Fiction],"B076G47245,B098YJJ4TQ,B0777PYT6J"
AE4PZREG7WYFISG2CUH65ZURQQUQ,[  Literature & Fiction],"B07693HRS9,B09T2PCLW8,B0976V6YSL"
AE4SERYO2EOYE2TXGTCQWSW2VD5A,"[  'Mystery, Thriller & Suspense']","B07H74W5N1,B00ZMVECQA,B00PBUEQJK"
AE4T24GSTULR4XLXZLFP42XRDEXQ,[  Literature & Fiction],"B08WRH53MY,B08HL999ZD,B07F18LND4"
AE4TC2CEFS3OKEQT3KL7A7XVAT6Q,[  Science Fiction & Fantasy],"B00JYWUHO4,B004LB4FBE,B00EMXBDMA"
AE4U37YXAUZSYT5BSDIRPBAMLVZA,[  Literature & Fiction],"B06WGTZXG7,B0739Z4XJ9,B00GP0JWMQ"
AE4VO5JCKJ4QTKNDFNYHUKG4FVBA,[  Literature & Fiction],"B001QEAQQC,B07C6TBTV3,B07HFLJ6B4"
AE4W4CZLGXRRMFX5GWSD7W43JIDQ,[  Literature & Fiction],"B01NBDMFWA,B08B7YXJH7,B07B8H8ZVW"
AE4W5JNJMTBCQP3E6574M3KXKLYA,[  Literature & Fiction],"B07KVLPYDQ,B07MV8SWZF,B07D8P8DS7"
AE4Z4TEKVJV6DA3DGJWLCEAZWCPQ,[  Literature & Fiction],"B085DQTY3P,B081DQ9M1F,B07YKTKHWB"
AE5353PI6H77YTPK3HMJ5FRU57OQ,[  Teen & Young Adult],"B01MAUBD33,B009LRWVVY,B077V2RL1D"
AE5ARM74TW3UUG63LTWCBT6UGGVQ,[  Literature & Fiction],"B07V2PLDY2,B09WRPWY7S,B09T2PCLW8"
AE5BSQHYGTF3U7HUGQJHP57LMIOQ,[  Literature & Fiction],"B0BGXYL3BZ,B09CN5LBGK,B07YBTCMPH"
AE5D45M2AQX332UUNQZX7HFGCMFA,[  Literature & Fiction],"B084357H23,B08L3NHJ88,B0B6SZZDTP"
AE5E254BSHPNO3P7D7IJSADMMTSA,[  Literature & Fiction],"B00ANAE6PM,B00HWMKN8I,B003JMFKRE"
AE5GEFVH53VXAWDK6QNE5AEJOP6Q,[  Literature & Fiction],"B0B6SZZDTP,B078GD3DRG,B0976V6YSL"
AE5GY3RHACIV5D7ND3P3IXKKLNUA,[  Literature & Fiction],"B002Z13UGS,B00C5R7FP4,B009ZFP3DA"
AE5H7KUXLVXIOY54FUU5R4ON4H2A,[  Literature & Fiction],"B00BT4QRHG,B07M59TYDL,B08WN6T9BJ"
AE5JSJKEXTYYCGC2XJDRYKFZQLCQ,[  Romance],"B09RW9H3QH,B09GZTSY2K,B09CN4DNCP"
AE5PATCA5XB5JGZYWYHDEJPGDIUA,[  Literature & Fiction],"B09NJBVM8Z,B09CNDV984,B09BTQ9HW6"
AE5SHB742DRVIBKDBOCQVZVHHUNA,[  Literature & Fiction],"B00E40F65Q,B09J8JSJL5,B005OQGC1Q"
AE5SITJ32GGI5IM3JADTHCYP6USA,[  Literature & Fiction],"B0777PYT6J,B01CWMKZ8A,B09WRPWY7S"
AE5SRFMOLYTFFDHU3PQAY62UUPMQ,[  Literature & Fiction],"B06W2H7XVT,B00IA7N7C8,B00R04MDAE"
AE5VCE2SNXFOFEKGOXBWTIUIX53A,[  Literature & Fiction],"B08Z74PMS2,B08QQZQTVM,B081Y47NRW"
AE5VOO6NWYSMMHQ3OBQPHV72M4BQ,[  Literature & Fiction],"B07GX3BR7P,B07NXXYG1G,B07NQDDH3S"
AE5Z66K3J6OXY67FXFAGF56CBY5Q,[  Literature & Fiction],"B09BTQ9HW6,B076ZTC4GQ,B072V27QMZ"
AE5ZMV3QCATCROKW4PHBJ7SVRKWQ,[  Literature & Fiction],"B078GD3DRG,B0104EOGGK,B009XIXVU6"
AE627O7MDJ5N7N4UD534F7X5U76A,[  Literature & Fiction],"B07NQDDH3S,B07VCZH8BP,B074H8NFDF"
AE67DUY3UJHC7UXFMGXJJRJQFXEQ,[  Literature & Fiction],"B00Y7RWXHU,B00DX73ZPY,B00K9V2OPE"
AE67QAEGNJZ5BDSYEWX3KA5HW5VQ,[  Literature & Fiction],"B01N9E6MMM,B0015DPX7G,B01BMI4EEQ"
AE67TDZFVMSLOZ74YQFZPXNYE3RQ,[  Science Fiction & Fantasy],"B015M2IVME,B01J6I556K,B01FWOW72W"
AE6AUJZRSEQBA53ZXIK4UYMHTXJQ,[  Literature & Fiction],"B000SEIK2S,B00F240FDG,B01N1UN91W"
AE6BDOHVAIZPMJH4ZI7WWNUQHVXQ,[  Literature & Fiction],"B09CN5LBGK,B089XYQ8SH,B096RXSMX8"
AE6BEIC6AEOJPUV7YHKHPFC5T7LA,[  Literature & Fiction],"B00U6T57US,B005LHQWD6,B0711B67D3"
AE6DEVRSL5QM42MFW5UNWL6K565A,[  Literature & Fiction],"B0BJZ8VZXH,B09PNM8FFN,B09B71P1W3"
AE6E2BZSOCL273XIXORZY3NQUOWQ,[  Literature & Fiction],"B007EDCZMW,B07GK5736Z,B082VC2MDY"
AE6FSCPEFB66GKHKGFLCITPOZ2MA,[  Literature & Fiction],"B09B71P1W3,B08NHH139J,B07W6WJG7Z"
AE6G4IY2XZH6LZ77TWLXAMZFSOVQ,[  Literature & Fiction],"B08HY4KKB5,B086823SWK,B07XDVHDH4"
AE6H42KFC6ZOY6U7SLG72IKPOKWA,[  Literature & Fiction],"B07ZV1BCC4,B077TWQW1V,B07NZJ7RX3"
AE6LVK2CQAJCWWC2SFREFKQHN2GA,[  Literature & Fiction],"B0063XH0KQ,B00C0X6LG2,B00H22IPBU"
AE6MQEQ67VNHPCYMG56HNNTWM6SA,[  Literature & Fiction],"B09PNM8FFN,B098YJJ4TQ,B08ZZ1W8F3"
AE6NC646WM6WTKMAMGRRKWRZXRKQ,[  Literature & Fiction],"B0834V66Z9,B0899QWN9Y,B07P8DZJ7R"
AE6NNDMULISIT62SQDFQGRPPDE3Q,[  Literature & Fiction],"B007N6JEII,B00TU3BTUI,B01ANM7GJC"
AE6OEGS7DF3KFK7XHXL4HHUTQDNA,[  Literature & Fiction],"B077D5NMB8,B01GOCENSM,B00IR4J6RY"
AE6PDS2BZYM4OZZMRMY5MBHVPSXQ,[  Teen & Young Adult],"B00QXUN5Y4,B074H6T1VZ,B079JYG6D4"
AE6PHHEKZOTW5K5PXO6NORGUY42Q,[  Literature & Fiction],"B0BB64ZRMW,B0B6SZZDTP,B00DPM7RJW"
AE6PY6KK7SCO4D3RYO5CS64HZSUQ,[  Literature & Fiction],"B07XNG5L99,B000SCHC0Q,B078GD3DRG"
AE6ST67WNTMQ3T672R53HLOTJKQQ,[  Literature & Fiction],"B07T6KS3QH,B0834V66Z9,B01HBKAYMA"
AE6VWN4EJC4FNHDPKHSSR53KWOBQ,[  Literature & Fiction],"B096WY7DMJ,B00FL0E10E,B00DZUICMA"
AE6VY3I3L7VLNU64NTCTGINOFKXQ,[  Literature & Fiction],"B01991O5UG,B0053HWAWQ,B000SEHPJW"
AE6YHMLZHK7NQVFIMRB35M2MFRQQ,[  Literature & Fiction],"B07N662525,B00HVGGH76,B078L6GCP3"
AE72OBQHCDLAAN2HYZCGB7T36FGQ,[  Literature & Fiction],"B003JTHWKU,B07KS83CGJ,B076CJX3YN"
AE737R4TCO62MPZEUXRNSTRZL5ZQ,[  Literature & Fiction],"B08RYQDKP2,B07QQLCZY1,B00ICN066A"
AE73S2YZFKUFAUUEZMNNL64VYJUA,[  Science Fiction & Fantasy],"B072JY94DY,B00YDJKE4G,B004T4UNU0"
AE747CPTU3RCQNGPY4OYSSKJHKQQ,[  Science Fiction & Fantasy],"B00MXN33M4,B08XVT2FKW,B08WCT9W26"
AE75EP4LKCGNPGYWODE4AP4D57HA,[  Literature & Fiction],"B08DZD56DL,B000GCFBQA,B0865326GF"
AE7BOVVRQATRALTP4JHRGOOKTSHA,[  Literature & Fiction],"B0992Y537S,B08NS24X2T,B08BZ61HDF"
AE7BST44PHZGZM7D77AJ7UQYOQZQ,[  Literature & Fiction],"B003B02P9U,B00L5SB2IU,B00L6E2CNC"
AE7CXD7NIXB35VZSHBCTHGVIBEMQ,[  Literature & Fiction],"B07L2QR5WD,B0180T0IUY,B079L5DDB4"
AE7K5WF7YN5RLKDPG3F53DG7ZOXA,[  Literature & Fiction],"B01MSICPW3,B01KGZVTOE,B01N4VW75U"
AE7U3F4LHDXSXO3H2BN3577RX2BQ,[  Literature & Fiction],"B08Y779MWB,B0B6SZZDTP,B08X472VK3"
AE7UC7UYILJY4242QB3TLRFT627A,[  Literature & Fiction],"B0BB52CCND,B0976V6YSL,B08G1D6PKK"
AE7UKYZSCDX7EJIR54GETSPIQFLA,[  Literature & Fiction],"B0992Y537S,B07DMYTL6L,B01DSBQ7EU"
AE7W3ZWBM6BR3AB3E7S3QICP2ERA,[  Literature & Fiction],"B016JC0SPO,B01MXRA7WD,B01M0CDHMG"
AEA4MHIQHQYWWGDEWAVMYGZBF53Q,[  Literature & Fiction],"B0976V6YSL,B000W4RFBQ,B00DV1IUNE"
AEA6B747VX2UVHCDMMU53EGCSH4Q,[  Literature & Fiction],"B085C6J29D,B07F18LND4,B07QGR5S23"
AEABXN5TJT74EPJDB3M6NTE2HUIA,[  Science Fiction & Fantasy],"B07WZ7SB5D,B078X1N8VF,B0756JSWGL"
AEADVDMN3O5RKCDT2ELIZOFGDZNA,"[  'Mystery, Thriller & Suspense']","B06XYHLZLR,B01J882LZG,B00SFYXLX6"
AEAGNPEHGHFQPARMCQU7JDTLELEQ,[  Literature & Fiction],"B0101EUY1O,B00E9TY9A0,B005C1N24I"
AEAINENFXHOV53OJZDBF2FCQXS6A,[  Literature & Fiction],"B08N9TKNL7,B019YL64P0,B0976V6YSL"
AEAK5WYDA7UT4NPZBFMC2COJMPXA,[  Literature & Fiction],"B01LOX4U9I,B00LA2QDBM,B015ZZEYWE"
AEALOLQRPZ4J6L75AG5HGS7V52QA,[  Literature & Fiction],"B07HDSHP7N,B00EMXBDMA,B06WP486XH"
AEAMB52F75RAEVILFK7H7YBTISCQ,[  Literature & Fiction],"B01N4VW75U,B07NVD1276,B07Y22KM21"
AEASJ2JIY3SOU3LQ2YAT3J3WUK7Q,"[  'Mystery, Thriller & Suspense']","B086BJWDFL,B082LSN4WD,B07ZG5RNWY"
AEATT2KEDU4YJMZDN4SG5D4QN5AA,[  Literature & Fiction],"B01MXRA7WD,B007MDK4RC,B012TZEMRU"
AEAVL5FYLJKXREOH4X7GQJS7FFHQ,[  Literature & Fiction],"B09RWNTLMR,B09BTQ9HW6,B01ER14CRY"
AEAWAXEYKUGM5BW6B5OCEMXZQE2Q,[  Literature & Fiction],"B08WCT9W26,B013X8TXPI,B00RALWMLM"
AEAWCWF5ZB5KL3BSUF4Q4VWEI2PA,[  Literature & Fiction],"B08G1D6PKK,B082RS9D42,B075HXST4P"
AEAWSXFP57S5Q24AOAHAHD2UCIXQ,[  Literature & Fiction],"B01A4ATV0A,B089SQN5WQ,B007OWO0YE"
AEAXHARNJHADO7BENEVTRVODLDAA,[  Literature & Fiction],"B00AB7VJB6,B005GY0Y8S,B074QQ2X81"
AEAYL3ZQ54MCHXCYGX3DC2BVTQVQ,[  Literature & Fiction],"B01N2RJFW1,B07G6M9HDV,B072TMB75T"
AEAZN3UC332RW3DTWTQHMJGERP5A,[  Literature & Fiction],"B003NE6HD4,B00K0OI42W,B005T54IAY"
AEB2AFMBQPSN3CWXA2HMFNJPLQ2Q,[  Literature & Fiction],"B07MM54C3R,B082LNTGYP,B07T6KS3QH"
AEB6JZAH74DYIQFAZ6ERO6QOUIAA,[  Teen & Young Adult],"B01M0614T9,B06Y5HPRLC,B0020BUWX2"
AEB74U4PM3BXMWSNWCYTOUCINWIQ,"[  'Mystery, Thriller & Suspense']","B08BKSQF78,B08VGH899X,B084VT2NYC"
AEBCTBUCTJEBYFZVRDMWOKSTLU3Q,[  Literature & Fiction],"B084M663VB,B074CJ19NJ,B009WJWD2S"
AEBDMPNDWUQP3OSAGRC6AF3NFMTA,[  Literature & Fiction],"B09QKSLPN9,B08R75GRWM,B07QQLCZY1"
AEBE6VLTVRAU4E24U4MJAYNGFPDA,"[  'Mystery, Thriller & Suspense']","B09W2BLL4B,B07XJN2NGT,B074CH1CDH"
AEBHENQ42LLUWI7YW4W3ZACFQSIQ,[  Literature & Fiction],"B07SMZ3CQK,B081DQ9M1F,B07GK5736Z"
AEBJVG4MLM27VGWTAHEAA5BVX7PQ,[  Literature & Fiction],"B00SFYXLX6,B01BFYBH24,B01FWES1A4"
AEBJWSJVK2EEGAO75GNRA4LKJ5NQ,[  Literature & Fiction],"B078M5G7XH,B06Y55SB48,B00YDJKE4G"
AEBLDNRCWGXE4X6KQW5DJXZLE63A,[  Literature & Fiction],"B004G606K8,B07CWSPSMX,B000FC2MAO"
AEBLVMICFAMHYK4BTCBQMN25P2OQ,[  Literature & Fiction],"B087ZXSPGJ,B078GD3DRG,B072C4XBZ9"
AEBRGQ42QXMEZ2XNGONTV5BCITKA,[  Literature & Fiction],"B01KGZVTOE,B092RXXJDM,B01AHKXIS8"
AEBSOVPNA36ITQIGGOB565Y2TYBA,[  Literature & Fiction],"B01HOEGQJS,B01DYC10NG,B015ZZEYWE"
AEBUDFZAVRC3JJCNQ25VK4B2TBCQ,[  Literature & Fiction],"B074QNLKP9,B074H6T1VZ,B01B6E6OKI"
AEBXWMRLX3DWWCDCA57N7TMSYMFA,"[  'Mystery, Thriller & Suspense']","B00FRKPXZA,B073XJDDLJ,B007SIV41G"
AEC2T6MYQFYTBUGF5CIXPB6I5WMA,[  Literature & Fiction],"B078MHVNWZ,B074QQ2X81,B0055FDRH8"
AEC6XOZOZ5CXOTK7XKLZXAUB76TQ,[  Literature & Fiction],"B078GD3DRG,B01LZP2AA3,B07639D2G9"
AEC7H3QKUQDTMWKYCSRKU7YJLV6Q,[  Literature & Fiction],"B01HBKAYMA,B0078S9B6G,B00B5JKLM2"
AECAPJ4KVSEYTLM3ADSIUGXD62DA,[  Literature & Fiction],"B07C7N5CBS,B09HLCTYZ8,B09N3GPL9C"
AECBDCLA3ZIP27V5QQJY6L5HQ2YA,[  Literature & Fiction],"B00A6CCF0K,B000OIZSKA,B00R04MDAE"
AECBZ5DGHLKUSF22ZJNLROLXO4MQ,[  Literature & Fiction],"B008J2G5Y6,B088FF4S7Q,B00HVF7OL0"
AECCEXRYXAFKLBRLXSLG434XB2LQ,[  Teen & Young Adult],"B093WB84G1,B08CHNCDN5,B08KWK7DCH"
AECCMR7FMZBZ3IN5RP3MNRGPBQVA,[  Literature & Fiction],"B07B89ZBZC,B078JDQ9BH,B079QBXDNP"
AECDBCKDR3GSTHZX6LUTQPFYTCDQ,[  Literature & Fiction],"B01LZ37NWE,B01HAK33TC,B01LZF038I"
AECDOYKVV7RQUD5BVDQGSYPNGOVQ,[  Literature & Fiction],"B09W2BLL4B,B09FPXJS4H,B0192CTMW8"
AECEV6CS76RHXLTDNT4C3L5SVDVQ,[  Literature & Fiction],"B074MDD3H6,B07CWQJP96,B07MNJ62D6"
AECFVDA3Y23YU3F4RYHNECD2YTCA,[  Literature & Fiction],"B08NP5273Y,B085HCCP4W,B07Y3XS2KY"
AECGFWWGXUCXUBC6TA4NWOTY3DQA,[  Literature & Fiction],"B01KZOA32U,B01LQ64674,B01DNJMOBM"
AECHJFW63RPFEXDDZIAN4MURLFBQ,[  Literature & Fiction],"B08FZNYQJC,B08ZCM38MB,B07K6G7QBR"
AECIUBJO4LW74BZU5VEZI2TQJEXQ,[  Literature & Fiction],"B076M1Z7BQ,B07Y1Y82HX,B07Y1X5P8M"
AECLJSQIFTTHBX5Y6GD62KLKNDLQ,[  Literature & Fiction],"B0763LB5LQ,B00U1T43Y4,B00HVG6WGM"
AECMMWFRKTOFQM2KIG6Y5LU3IHEQ,[  Literature & Fiction],"B01F20E7GU,B00TXAE6Z8,B01MTJQFQY"
AECNDW73XODITFJUYPKRF5UN4ARQ,[  Literature & Fiction],"B081DNZXPR,B076V3MZGT,B075TV5BHW"
AECVB2UKEBUPHKSN52Q5IQF6IRHA,[  Literature & Fiction],"B08R2JZJM6,B0841FHN4C,B08LDY1MKW"
AECXXNKLZ7OG6OQUW6FWUP65L45Q,[  Literature & Fiction],"B09J8JSJL5,B00BHLJLD8,B08HQPDCNV"
AED2ACHFDM5NPZSW3LXN6GENVEZQ,[  Literature & Fiction],"B01KT7YTXW,B01CRXLDLW,B010L6JTO0"
AED2ESYAC5V6GVHIBOAWUJKLJ6UQ,[  Science Fiction & Fantasy],"B09JS55FW3,B07JMVWYK6,B08ZS19WWY"
AED3ZKWWAELMK7522KMMKWJCZ3QA,[  Teen & Young Adult],"B08HJDG47W,B086HNCGBM,B081B66JKD"
AED47ZSUJVCOLQKAUNSW6WIZOHHA,[  Literature & Fiction],"B01N6DS5T2,B01FJHTYXC,B01DYC10NG"
AED5JXLDYED65U5LXDYCGHXU7W3Q,[  Literature & Fiction],"B087ZXSPGJ,B009LRWWD6,B08L3NB7FL"
AEDBF4WOPQQMSTGKZLKLGQVZMNUA,[  Literature & Fiction],"B077TWQW1V,B07Q8FD47T,B07GVK5HW8"
AEDDXSCLTDEXFEWL5WDYDXHUZB6A,[  Literature & Fiction],"B08RY8WSY4,B098V16S5B,B09BQCPBGZ"
AEDE4FZ4UVKVLKOCNM3QBRPCMHNA,[  Literature & Fiction],"B01JK5SU2U,B001PSEPLG,B00FO60AZK"
AEDGVRFD2JJDWVXTVBGDP26UJUJA,[  Literature & Fiction],"B008C3JR6U,B019YL64P0,B00Q92RXJO"
AEDOWD4M625PSYBZDO5IJ64YIIBQ,[  Literature & Fiction],"B098QS47D3,B093Q53XLB,B094JM3PDB"
AEDPBBNNWOXXVI3UUZWRNJUAFESQ,[  Literature & Fiction],"B09TWSRMCB,B0BBL2ZW73,B000FA5SUM"
AEDQGXEDJ4XDUPPFZ2VBA2ZVXKBA,[  Religion & Spirituality],"B084VVGLY4,B073RS5MS6,B004Y1NWQU"
AEDQJ7IVCK7W2SZPGAZSKLUVAH5A,[  Literature & Fiction],"B09MCZ798K,B07L2VDHXT,B00FEQVXME"
AEDRIVHVJM2255RQU7C4PIY4ORWA,[  Literature & Fiction],"B00MY8JUD4,B004DI7HZ6,B003K16Q3G"
AEDS6WCPGIB643P3NSK4MDP32SFQ,[  Literature & Fiction],"B00C2GEJT8,B0925FP6G6,B00H22IPBU"
AEDSFLVDRERYV6UVGH6YDJ4JKCWA,[  Literature & Fiction],"B082SKTFP5,B00BSY6U6K,B004IYITJ8"
AEDUF7OM3CD4C5D5NWLI6BBVIYYQ,[  Literature & Fiction],"B098QS47D3,B09C6LW4XW,B0831GGQS7"
AEDYTZ4YEHRFHBDSYF4OLHXCGMPQ,[  Literature & Fiction],"B005PRJNCY,B007GSU1LC,B002Q1YDKO"
AEE3GQ2NBNLRADC66CXYSYPYJK3A,[  Literature & Fiction],"B0052XQ068,B00DO0OPTK,B00A3ZA4TO"
AEE42G5BK3S36QJDYIMCGWQM2WJA,"[  'Mystery, Thriller & Suspense']","B07FN15CDP,B07GTPV9C9,B01KSW4QJA"
AEE4VVA7GP4BJOCMDIGSBP3ML2XA,[  Literature & Fiction],"B08V48WFCT,B07DTB52HJ,B06Y5WRS2C"
AEE67NOCUB3WM4MHN5YMNEUOF2KA,[  Literature & Fiction],"B09CNFRZDC,B08KWK7DCH,B0976V6YSL"
AEE7ETOQ26BHKU6FHAP5K4XTGG5A,[  Literature & Fiction],"B013WTKGZE,B07Y22KM21,B07DTB52HJ"
AEEEM36MUW2N2FUBTSPTKYAOQK2Q,[  Literature & Fiction],"B08X472VK3,B087WJD1MJ,B016TO0AOG"
AEEG53DINELY32GGKASC2MTJYAJQ,[  Literature & Fiction],"B08SBMCSQQ,B07DL1Y4GV,B0018QOYKC"
AEEHUQFF7LSQNQ36JT2AX2FE267A,[  Literature & Fiction],"B078GD3DRG,B07D8P8DS7,B0739Z4XJ9"
AEEHVUF5JGXRJO7TEXCIKAPE24MQ,[  Literature & Fiction],"B0833JCPH5,B07XRJWH65,B08DQLQDBF"
AEEJPOPGZKVV7ATPNSU346IXCFKQ,[  Literature & Fiction],"B083ZLK9PL,B005MMO0IY,B08WRH53MY"
